,UID,WallTime,act,detail,evaluate_id,nadvisories,config_index,mode,reason
0,R_Walters-2cf0-EFB_BB45_20210312_085351,1615582437.999692,SYNCH,,NA,NA,NA,NA,Other
1,R_Walters-2cf0-EFB_BB45_20210312_085351,1615582505.594309,ATCRejected,,,3,3,auto,Other
2,R_Walters-2cf0-EFB_BB45_20210312_085351,1615582955.842471,DISPLAY_CONNECTION_LOST,TAP_DISPLAY_CONNECTION_LOST,NA,NA,NA,NA,Other
